customer_id,customer_type,regions,building_size_m2,occupants,energy_cost_brl,Cost per square meter,Cost per occupant,People per square meter,Categorize building size,,,434370.14
CUSTOMER_0105,commercial,Northeast,45,4,152.04,3.38,38.01,0.09,Small,,,
CUSTOMER_0106,residential,North,24,3,85.59,3.57,28.53,0.13,Small,,,
CUSTOMER_0107,residential,Northeast,24,3,71.59,2.98,23.86,0.13,Small,,,
CUSTOMER_0108,commercial,North,45,3,84.24,1.87,28.08,0.07,Small,,,
CUSTOMER_0109,residential,Midwest,24,2,82.05,3.42,41.03,0.08,Small,,,
CUSTOMER_0110,residential,South,24,1,72.74,3.03,72.74,0.04,Small,,,
CUSTOMER_0111,residential,South,24,2,68.25,2.84,34.13,0.08,Small,,,
CUSTOMER_0112,residential,Southeast,17,1,73.4,4.32,73.40,0.06,Small,,,
CUSTOMER_0113,commercial,Midwest,45,2,81.97,1.82,40.99,0.04,Small,,,
CUSTOMER_0114,commercial,Midwest,45,3,74.48,1.66,24.83,0.07,Small,,,
CUSTOMER_0115,residential,Northeast,17,3,66.03,3.88,22.01,0.18,Small,,,
CUSTOMER_0116,commercial,Midwest,24,1,91.58,3.82,91.58,0.04,Small,,,
CUSTOMER_0117,commercial,Midwest,17,1,79.79,4.69,79.79,0.06,Small,,,
CUSTOMER_0118,residential,Midwest,45,4,107.57,2.39,26.89,0.09,Small,,,
CUSTOMER_0119,commercial,Midwest,17,2,71.41,4.20,35.71,0.12,Small,,,
CUSTOMER_0120,residential,Northeast,45,4,152.36,3.39,38.09,0.09,Small,,,
CUSTOMER_0121,commercial,Northeast,17,2,91.28,5.37,45.64,0.12,Small,,,
CUSTOMER_0122,commercial,South,24,1,69.1,2.88,69.10,0.04,Small,,,
CUSTOMER_0123,residential,North,52,1,100.68,1.94,100.68,0.02,Large,,,
CUSTOMER_0124,residential,Midwest,45,2,56.43,1.25,28.22,0.04,Small,,,
CUSTOMER_0125,residential,South,17,1,101.86,5.99,101.86,0.06,Small,,,
CUSTOMER_0126,residential,Midwest,52,1,65.12,1.25,65.12,0.02,Large,,,
CUSTOMER_0127,commercial,Midwest,45,1,52.97,1.18,52.97,0.02,Small,,,
CUSTOMER_0128,commercial,Northeast,52,1,74.78,1.44,74.78,0.02,Large,,,
CUSTOMER_0129,residential,Northeast,45,3,70.93,1.58,23.64,0.07,Small,,,
CUSTOMER_0130,residential,Southeast,45,4,133.41,2.96,33.35,0.09,Small,,,
CUSTOMER_0131,residential,Midwest,77,4,147.53,1.92,36.88,0.05,Large,,,
CUSTOMER_0132,residential,Midwest,24,3,95.76,3.99,31.92,0.13,Small,,,
CUSTOMER_0133,residential,North,45,1,73.1,1.62,73.10,0.02,Small,,,
CUSTOMER_0134,residential,North,45,4,127.42,2.83,31.86,0.09,Small,,,
CUSTOMER_0135,commercial,South,17,2,60.11,3.54,30.06,0.12,Small,,,
CUSTOMER_0136,residential,Northeast,17,3,54.94,3.23,18.31,0.18,Small,,,
CUSTOMER_0137,residential,Midwest,17,2,85.43,5.03,42.72,0.12,Small,,,
CUSTOMER_0138,commercial,North,45,2,55.81,1.24,27.91,0.04,Small,,,
CUSTOMER_0139,residential,Midwest,45,3,90.18,2.00,30.06,0.07,Small,,,
CUSTOMER_0140,commercial,South,45,4,133.41,2.96,33.35,0.09,Small,,,
CUSTOMER_0141,commercial,Midwest,17,2,62.7,3.69,31.35,0.12,Small,,,
CUSTOMER_0142,residential,North,45,4,133.43,2.97,33.36,0.09,Small,,,
CUSTOMER_0143,residential,Midwest,77,2,61.9,0.80,30.95,0.03,Large,,,
CUSTOMER_0144,residential,Midwest,24,1,75.03,3.13,75.03,0.04,Small,,,
CUSTOMER_0145,residential,Midwest,45,1,93.56,2.08,93.56,0.02,Small,,,
CUSTOMER_0146,residential,Southeast,45,1,76.22,1.69,76.22,0.02,Small,,,
CUSTOMER_0147,residential,Midwest,45,3,60.14,1.34,20.05,0.07,Small,,,
CUSTOMER_0148,residential,Southeast,45,1,89.67,1.99,89.67,0.02,Small,,,
CUSTOMER_0149,residential,Midwest,52,2,62.09,1.19,31.05,0.04,Large,,,
CUSTOMER_0150,residential,North,24,2,90.42,3.77,45.21,0.08,Small,,,
CUSTOMER_0151,commercial,Northeast,52,4,130.13,2.50,32.53,0.08,Large,,,
CUSTOMER_0152,residential,Northeast,24,2,75.8,3.16,37.90,0.08,Small,,,
CUSTOMER_0153,residential,South,24,2,96.22,4.01,48.11,0.08,Small,,,
CUSTOMER_0154,residential,Midwest,17,2,88.89,5.23,44.45,0.12,Small,,,
CUSTOMER_0155,commercial,Midwest,45,3,54.19,1.20,18.06,0.07,Small,,,
CUSTOMER_0156,residential,Northeast,45,2,67.71,1.50,33.86,0.04,Small,,,
CUSTOMER_0157,commercial,Northeast,24,3,97.22,4.05,32.41,0.13,Small,,,
CUSTOMER_0158,commercial,Midwest,24,2,53.44,2.23,26.72,0.08,Small,,,
CUSTOMER_0159,residential,Midwest,77,4,133.75,1.74,33.44,0.05,Large,,,
CUSTOMER_0160,commercial,Northeast,52,3,89.87,1.73,29.96,0.06,Large,,,
CUSTOMER_0161,residential,Midwest,45,3,84.43,1.88,28.14,0.07,Small,,,
CUSTOMER_0162,residential,North,45,2,91.55,2.03,45.78,0.04,Small,,,
CUSTOMER_0163,residential,Northeast,45,2,89.76,1.99,44.88,0.04,Small,,,
CUSTOMER_0164,residential,Midwest,24,2,88.04,3.67,44.02,0.08,Small,,,
CUSTOMER_0165,residential,North,77,2,94.69,1.23,47.35,0.03,Large,,,
CUSTOMER_0166,commercial,South,17,1,85.66,5.04,85.66,0.06,Small,,,
CUSTOMER_0167,residential,Northeast,45,1,73.16,1.63,73.16,0.02,Small,,,
CUSTOMER_0168,residential,North,24,3,76.73,3.20,25.58,0.13,Small,,,
CUSTOMER_0169,residential,Northeast,45,3,89.3,1.98,29.77,0.07,Small,,,
CUSTOMER_0170,residential,Midwest,45,4,151.89,3.38,37.97,0.09,Small,,,
CUSTOMER_0171,commercial,Midwest,45,4,118.78,2.64,29.70,0.09,Small,,,
CUSTOMER_0172,residential,Midwest,17,1,70.07,4.12,70.07,0.06,Small,,,
CUSTOMER_0173,residential,North,45,4,154.87,3.44,38.72,0.09,Small,,,
CUSTOMER_0174,residential,North,24,3,82.21,3.43,27.40,0.13,Small,,,
CUSTOMER_0175,residential,Midwest,24,2,61.69,2.57,30.85,0.08,Small,,,
CUSTOMER_0176,residential,Southeast,17,3,86.58,5.09,28.86,0.18,Small,,,
CUSTOMER_0177,commercial,Southeast,45,3,103.38,2.30,34.46,0.07,Small,,,
CUSTOMER_0178,residential,North,45,3,94.78,2.11,31.59,0.07,Small,,,
CUSTOMER_0179,commercial,Midwest,45,1,90.79,2.02,90.79,0.02,Small,,,
CUSTOMER_0180,residential,South,45,1,63.18,1.40,63.18,0.02,Small,,,
CUSTOMER_0181,residential,Northeast,45,3,97.49,2.17,32.50,0.07,Small,,,
CUSTOMER_0182,residential,Southeast,45,2,79.5,1.77,39.75,0.04,Small,,,
CUSTOMER_0183,commercial,North,24,3,98.17,4.09,32.72,0.13,Small,,,
CUSTOMER_0184,commercial,South,24,1,69.44,2.89,69.44,0.04,Small,,,
CUSTOMER_0185,residential,Midwest,45,2,55.69,1.24,27.85,0.04,Small,,,
CUSTOMER_0186,commercial,South,45,3,76.94,1.71,25.65,0.07,Small,,,
CUSTOMER_0187,commercial,Midwest,52,1,66.36,1.28,66.36,0.02,Large,,,
CUSTOMER_0188,residential,Northeast,52,2,89.23,1.72,44.62,0.04,Large,,,
CUSTOMER_0189,residential,South,24,3,101.65,4.24,33.88,0.13,Small,,,
CUSTOMER_0190,residential,Northeast,17,1,87.98,5.18,87.98,0.06,Small,,,
CUSTOMER_0191,residential,Northeast,45,2,98.04,2.18,49.02,0.04,Small,,,
CUSTOMER_0192,commercial,Midwest,24,3,75.76,3.16,25.25,0.13,Small,,,
CUSTOMER_0193,commercial,Midwest,17,2,92.12,5.42,46.06,0.12,Small,,,
CUSTOMER_0194,residential,South,52,2,95.79,1.84,47.90,0.04,Large,,,
CUSTOMER_0195,residential,Northeast,24,2,89,3.71,44.50,0.08,Small,,,
CUSTOMER_0196,residential,Midwest,77,1,78.57,1.02,78.57,0.01,Large,,,
CUSTOMER_0197,commercial,Midwest,45,3,84.64,1.88,28.21,0.07,Small,,,
CUSTOMER_0198,commercial,North,45,4,142.25,3.16,35.56,0.09,Small,,,
CUSTOMER_0199,commercial,Northeast,24,2,65.5,2.73,32.75,0.08,Small,,,
CUSTOMER_0200,commercial,Northeast,24,2,94.07,3.92,47.04,0.08,Small,,,
CUSTOMER_0201,residential,Northeast,45,2,101.3,2.25,50.65,0.04,Small,,,
CUSTOMER_0202,residential,South,24,1,76.39,3.18,76.39,0.04,Small,,,
CUSTOMER_0203,residential,Midwest,24,2,88.5,3.69,44.25,0.08,Small,,,
CUSTOMER_0204,commercial,Midwest,24,1,90.35,3.76,90.35,0.04,Small,,,
CUSTOMER_0205,residential,South,24,1,86.51,3.60,86.51,0.04,Small,,,
CUSTOMER_0206,residential,Northeast,24,2,80.59,3.36,40.30,0.08,Small,,,
CUSTOMER_0207,residential,Southeast,45,2,97.77,2.17,48.89,0.04,Small,,,
CUSTOMER_0208,commercial,Midwest,24,1,75.55,3.15,75.55,0.04,Small,,,
CUSTOMER_0209,residential,Southeast,17,1,55.64,3.27,55.64,0.06,Small,,,
CUSTOMER_0210,residential,Northeast,45,2,95.87,2.13,47.94,0.04,Small,,,
CUSTOMER_0211,residential,South,77,1,87.11,1.13,87.11,0.01,Large,,,
CUSTOMER_0212,commercial,Northeast,24,1,96.11,4.00,96.11,0.04,Small,,,
CUSTOMER_0213,commercial,Northeast,17,2,59.61,3.51,29.81,0.12,Small,,,
CUSTOMER_0214,residential,Midwest,45,2,54.08,1.20,27.04,0.04,Small,,,
CUSTOMER_0215,commercial,Northeast,77,3,100.48,1.30,33.49,0.04,Large,,,
CUSTOMER_0216,residential,Midwest,45,4,111.96,2.49,27.99,0.09,Small,,,
CUSTOMER_0217,residential,Midwest,45,2,94.08,2.09,47.04,0.04,Small,,,
CUSTOMER_0218,commercial,Midwest,24,2,94.77,3.95,47.39,0.08,Small,,,
CUSTOMER_0219,residential,Northeast,45,2,88.89,1.98,44.45,0.04,Small,,,
CUSTOMER_0220,commercial,North,17,3,59.24,3.48,19.75,0.18,Small,,,
CUSTOMER_0221,commercial,Northeast,45,1,86.77,1.93,86.77,0.02,Small,,,
CUSTOMER_0222,residential,Midwest,45,4,152.59,3.39,38.15,0.09,Small,,,
CUSTOMER_0223,residential,Northeast,77,2,74.35,0.97,37.18,0.03,Large,,,
CUSTOMER_0224,residential,Northeast,24,2,73.73,3.07,36.87,0.08,Small,,,
CUSTOMER_0225,residential,Northeast,17,3,75.24,4.43,25.08,0.18,Small,,,
CUSTOMER_0226,residential,North,45,3,56.72,1.26,18.91,0.07,Small,,,
CUSTOMER_0227,commercial,Midwest,45,3,98.31,2.18,32.77,0.07,Small,,,
CUSTOMER_0228,residential,Southeast,45,1,97.13,2.16,97.13,0.02,Small,,,
CUSTOMER_0229,commercial,Northeast,24,3,103.74,4.32,34.58,0.13,Small,,,
CUSTOMER_0230,residential,Midwest,24,1,82.55,3.44,82.55,0.04,Small,,,
CUSTOMER_0231,commercial,Midwest,45,4,145.03,3.22,36.26,0.09,Small,,,
CUSTOMER_0232,residential,Midwest,24,2,62.91,2.62,31.46,0.08,Small,,,
CUSTOMER_0233,residential,Midwest,52,2,86.78,1.67,43.39,0.04,Large,,,
CUSTOMER_0234,residential,Midwest,45,2,85.86,1.91,42.93,0.04,Small,,,
CUSTOMER_0235,residential,Midwest,45,4,153.26,3.41,38.32,0.09,Small,,,
CUSTOMER_0236,commercial,North,45,3,95.16,2.11,31.72,0.07,Small,,,
CUSTOMER_0237,residential,Midwest,45,2,100.69,2.24,50.35,0.04,Small,,,
CUSTOMER_0238,residential,Midwest,24,3,97.11,4.05,32.37,0.13,Small,,,
CUSTOMER_0239,residential,North,52,1,97.11,1.87,97.11,0.02,Large,,,
CUSTOMER_0240,residential,Northeast,24,2,55.77,2.32,27.89,0.08,Small,,,
CUSTOMER_0241,commercial,South,45,1,95.94,2.13,95.94,0.02,Small,,,
CUSTOMER_0242,commercial,Midwest,24,3,83.69,3.49,27.90,0.13,Small,,,
CUSTOMER_0243,commercial,Midwest,45,4,124.71,2.77,31.18,0.09,Small,,,
CUSTOMER_0244,residential,South,24,3,55.4,2.31,18.47,0.13,Small,,,
CUSTOMER_0245,residential,Midwest,24,2,87.3,3.64,43.65,0.08,Small,,,
CUSTOMER_0246,commercial,Midwest,77,2,69.35,0.90,34.68,0.03,Large,,,
CUSTOMER_0247,residential,Midwest,24,3,76.52,3.19,25.51,0.13,Small,,,
CUSTOMER_0248,commercial,Southeast,45,2,87.51,1.94,43.76,0.04,Small,,,
CUSTOMER_0249,commercial,Midwest,77,2,99.32,1.29,49.66,0.03,Large,,,
CUSTOMER_0250,commercial,Midwest,17,1,94.89,5.58,94.89,0.06,Small,,,
CUSTOMER_0251,residential,Northeast,45,4,128.56,2.86,32.14,0.09,Small,,,
CUSTOMER_0252,residential,South,24,3,72.41,3.02,24.14,0.13,Small,,,
CUSTOMER_0253,commercial,Midwest,17,1,64.81,3.81,64.81,0.06,Small,,,
CUSTOMER_0254,residential,North,45,2,71.62,1.59,35.81,0.04,Small,,,
CUSTOMER_0255,residential,Southeast,77,1,58.2,0.76,58.20,0.01,Large,,,
CUSTOMER_0256,residential,Midwest,17,3,102.37,6.02,34.12,0.18,Small,,,
CUSTOMER_0257,commercial,North,45,4,135.32,3.01,33.83,0.09,Small,,,
CUSTOMER_0258,commercial,Midwest,45,4,110.87,2.46,27.72,0.09,Small,,,
CUSTOMER_0259,residential,Midwest,52,1,70.62,1.36,70.62,0.02,Large,,,
CUSTOMER_0260,residential,Southeast,17,1,80.59,4.74,80.59,0.06,Small,,,
CUSTOMER_0261,residential,Northeast,45,4,133.07,2.96,33.27,0.09,Small,,,
CUSTOMER_0262,commercial,Southeast,45,2,54.32,1.21,27.16,0.04,Small,,,
CUSTOMER_0263,residential,Midwest,45,3,101.33,2.25,33.78,0.07,Small,,,
CUSTOMER_0264,residential,North,77,2,66.64,0.87,33.32,0.03,Large,,,
CUSTOMER_0265,commercial,South,52,2,53.33,1.03,26.67,0.04,Large,,,
CUSTOMER_0266,commercial,Midwest,17,3,56.43,3.32,18.81,0.18,Small,,,
CUSTOMER_0267,commercial,Northeast,45,1,82.29,1.83,82.29,0.02,Small,,,
CUSTOMER_0268,commercial,Midwest,24,2,59.58,2.48,29.79,0.08,Small,,,
CUSTOMER_0269,residential,Southeast,24,1,54.64,2.28,54.64,0.04,Small,,,
CUSTOMER_0270,residential,Northeast,45,3,71.99,1.60,24.00,0.07,Small,,,
CUSTOMER_0271,commercial,Northeast,24,2,84.48,3.52,42.24,0.08,Small,,,
CUSTOMER_0272,commercial,North,45,1,58.24,1.29,58.24,0.02,Small,,,
CUSTOMER_0273,commercial,Northeast,77,1,68.59,0.89,68.59,0.01,Large,,,
CUSTOMER_0274,commercial,Midwest,17,2,73.95,4.35,36.98,0.12,Small,,,
CUSTOMER_0275,residential,Midwest,77,3,60.69,0.79,20.23,0.04,Large,,,
CUSTOMER_0276,residential,Northeast,45,4,131.6,2.92,32.90,0.09,Small,,,
CUSTOMER_0277,commercial,Northeast,45,1,56.88,1.26,56.88,0.02,Small,,,
CUSTOMER_0278,residential,Northeast,52,3,54.89,1.06,18.30,0.06,Large,,,
CUSTOMER_0279,commercial,South,24,2,79.19,3.30,39.60,0.08,Small,,,
CUSTOMER_0280,commercial,Northeast,45,1,65.23,1.45,65.23,0.02,Small,,,
CUSTOMER_0281,commercial,South,45,1,57.4,1.28,57.40,0.02,Small,,,
CUSTOMER_0282,residential,Midwest,24,1,74.27,3.09,74.27,0.04,Small,,,
CUSTOMER_0283,residential,Northeast,77,3,99.49,1.29,33.16,0.04,Large,,,
CUSTOMER_0284,residential,Southeast,52,1,89.69,1.72,89.69,0.02,Large,,,
CUSTOMER_0285,residential,Midwest,17,1,94.38,5.55,94.38,0.06,Small,,,
CUSTOMER_0286,residential,Midwest,17,2,97.27,5.72,48.64,0.12,Small,,,
CUSTOMER_0287,residential,South,45,1,102.44,2.28,102.44,0.02,Small,,,
CUSTOMER_0288,residential,North,17,3,91.69,5.39,30.56,0.18,Small,,,
CUSTOMER_0289,residential,North,45,2,83.74,1.86,41.87,0.04,Small,,,
CUSTOMER_0290,residential,Midwest,17,2,71.26,4.19,35.63,0.12,Small,,,
CUSTOMER_0291,residential,Northeast,45,1,61.83,1.37,61.83,0.02,Small,,,
CUSTOMER_0292,residential,Northeast,17,2,87.76,5.16,43.88,0.12,Small,,,
CUSTOMER_0293,commercial,North,24,1,103.59,4.32,103.59,0.04,Small,,,
CUSTOMER_0294,residential,North,45,2,76.5,1.70,38.25,0.04,Small,,,
CUSTOMER_0295,residential,Midwest,45,3,89.66,1.99,29.89,0.07,Small,,,
CUSTOMER_0296,residential,North,77,1,77.92,1.01,77.92,0.01,Large,,,
CUSTOMER_0297,commercial,Midwest,52,3,74.68,1.44,24.89,0.06,Large,,,
CUSTOMER_0298,residential,Midwest,24,1,73.57,3.07,73.57,0.04,Small,,,
CUSTOMER_0299,residential,Midwest,17,3,78.41,4.61,26.14,0.18,Small,,,
CUSTOMER_0300,residential,North,52,4,123.97,2.38,30.99,0.08,Large,,,
CUSTOMER_0301,residential,Midwest,77,3,90.95,1.18,30.32,0.04,Large,,,
CUSTOMER_0302,residential,North,52,2,97.39,1.87,48.70,0.04,Large,,,
CUSTOMER_0303,residential,Midwest,17,1,97.84,5.76,97.84,0.06,Small,,,
CUSTOMER_0304,residential,Southeast,77,2,64.19,0.83,32.10,0.03,Large,,,
CUSTOMER_0305,commercial,Midwest,24,3,98.5,4.10,32.83,0.13,Small,,,
CUSTOMER_0306,commercial,Midwest,45,1,70.04,1.56,70.04,0.02,Small,,,
CUSTOMER_0307,residential,Midwest,77,3,68.38,0.89,22.79,0.04,Large,,,
CUSTOMER_0308,residential,Northeast,24,3,89.82,3.74,29.94,0.13,Small,,,
CUSTOMER_0309,commercial,Southeast,77,3,68.15,0.89,22.72,0.04,Large,,,
CUSTOMER_0310,residential,Southeast,24,3,55.22,2.30,18.41,0.13,Small,,,
